candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features,model,learning_rate,max_iter,l2,hidden,weight_decay,pred_sigma_median_ns,channels
amp_only,0.0,0,2.089286103560495,3018,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.0,1,1.3862054956961143,3534,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.0,2,1.3868082796168753,4710,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.0,-1,1.6207666262911615,0,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.01,0,2.0901150579694368,3018,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.01,1,1.3867568665053154,3534,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.01,2,1.3865982866871276,4710,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.01,-1,1.62115673705396,0,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.1,0,2.099493374005266,3018,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.1,1,1.3904375964576863,3534,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.1,2,1.3831895998205652,4710,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,0.1,-1,1.6243735234278391,0,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,1.0,0,2.08508183978908,3018,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,1.0,1,1.3971385127048899,3534,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,1.0,2,1.4457363253344258,4710,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,1.0,-1,1.6426522259427987,0,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,10.0,0,2.0943819077527817,3018,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,10.0,1,1.3862486838786658,3534,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,10.0,2,1.4588786354608059,4710,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,10.0,-1,1.646503075697418,0,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,100.0,0,2.0629554268616057,3018,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,100.0,1,1.3330035046979343,3534,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,100.0,2,1.415007211935843,4710,6.0,analytic_polynomial_timewalk,,,,,,,
amp_only,100.0,-1,1.6036553811651277,0,6.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.0,0,2.0525031562214493,3018,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.0,1,1.4060881401604317,3534,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.0,2,1.425086591531612,4710,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.0,-1,1.6278926293044975,0,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.01,0,2.0493928474999166,3018,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.01,1,1.4069856281281368,3534,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.01,2,1.4255226707432886,4710,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.01,-1,1.6273003821237806,0,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.1,0,2.0439710337037886,3018,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.1,1,1.4017303307974647,3534,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.1,2,1.4299196101569058,4710,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,0.1,-1,1.6252069915527196,0,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,1.0,0,2.0397377458035058,3018,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,1.0,1,1.406528126602622,3534,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,1.0,2,1.4489374604761096,4710,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,1.0,-1,1.6317344442940793,0,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,10.0,0,2.0339156641962224,3018,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,10.0,1,1.4130907539869073,3534,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,10.0,2,1.4696240318890652,4710,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,10.0,-1,1.6388768166907317,0,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,100.0,0,2.0233490282388593,3018,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,100.0,1,1.3821377200400486,3534,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,100.0,2,1.4467926200691121,4710,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape,100.0,-1,1.6174264561160066,0,14.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.0,0,2.2031482683897132,3018,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.0,1,1.480785974839865,3534,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.0,2,1.5146222071957536,4710,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.0,-1,1.7328521501417775,0,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.01,0,2.2113564245402517,3018,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.01,1,1.4860413700060389,3534,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.01,2,1.5402855233865869,4710,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.01,-1,1.745894439310959,0,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.1,0,2.211284343590514,3018,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.1,1,1.4903726813921996,3534,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.1,2,1.5402076085789473,4710,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,0.1,-1,1.7472882111872206,0,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,1.0,0,2.202756121186838,3018,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,1.0,1,1.4571130972263746,3534,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,1.0,2,1.520028570326622,4710,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,1.0,-1,1.7266325962466116,0,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,10.0,0,2.1810638914558145,3018,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,10.0,1,1.4481981465730909,3534,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,10.0,2,1.5202495017176407,4710,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,10.0,-1,1.7165038465821818,0,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,100.0,0,2.1465804528036956,3018,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,100.0,1,1.4513754881771217,3534,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,100.0,2,1.535655700611709,4710,47.0,analytic_polynomial_timewalk,,,,,,,
amp_rise_shape_by_stave,100.0,-1,1.7112038805308423,0,47.0,analytic_polynomial_timewalk,,,,,,,
,0.01,0,1.2733039900220775,3018,,ridge,,,,,,,
